SMILES,Name,IC50
C1CC12[C@@](C#N)(C2)c(cc3)cc(c34)n(nc4)-c5cc(ncn5)N(CCO6)CC6C(C)(C)O,1104609,0.6
CC(C)(O)CC(O)Cn(nc1)c(Cl)c1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCC4(C)O,1325132,27.3
CC(C)(O)CN1CCN(CC1)c(c(Cl)c2)cc(c23)nc(nc3)Nc4c(Cl)n(nc4)C5CC5,51481500,0.075858
CC(C)(O)Cn(c1)ncc1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCC4(C)O,1324992,0.221
CC(C)(O)Cn(c1)ncc1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCC4O,1324990,0.407
CC(C)(O)Cn(c1)ncc1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCN4C5(C)COC5,1325099,5.26
CC(C)(O)Cn(c1)ncc1Nc(nc2)nc(c23)cc(c(Cl)c3)N(C4)C[C@H]([C@@](C)([C@H]45)O)CC5,1325012,0.393
CC(C)(O)Cn(c1)ncc1-c2n[nH]c(c23)ccnc3OC4CCOCC4,51240817,13
CC(C)(O)Cn(nc1)c(Cl)c1Nc(nc2)nc(c2C(F)(F)F)C3CC3,1127575,30
CC(C)(O)Cn(nc1)c(Cl)c1Nc(nc2)nc(c23)nc(c(Br)c3)NCC4CC4,1325245,36.7
CC(C)(O)Cn(nc1)c(Cl)c1Nc(nc2)nc(c23)cc(c(Cl)c3)C4CCN(CC4)C5COC5,51446304,0.8
CC(C)(O)Cn(nc1)c(Cl)c1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCC4(C)O,1324993,1.54
CC(C)(O)Cn(nc1)c(Cl)c1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCC4O,1324991,0.488
CC(C)(O)Cn(nc1)c(Cl)c1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCN4C5(C)COC5,1325091,2.76
CC(C)(O)Cn(nc1)c(Cl)c1Nc(nc2)nc(c23)cc(c(Cl)c3)N(C4)C[C@H]([C@@](C)([C@H]45)O)CC5,1325010,5.09
CC(C)(O)Cn(nc1)c(c12)c(F)ccc2Nc(nc3)nc(c3C(F)F)NC4CC4,1417550,50
CC(C)(O)Cn(nc1)c(c12)cccc2Nc(nc3)nc(c3C(F)F)NC4CC4,1417548,50
